601	68	15	917
602	70	13	917
603	70	13	917
604	69	14	917
605	67	16	917
606	70	13	917
607	72	11	917
608	71	12	917
609	72	11	917
610	70	12	918
611	69	13	918
612	69	13	918
613	69	13	918
614	71	11	918
615	70	12	918
616	72	10	918
617	74	8	918
618	75	7	918
619	75	7	918
620	74	8	918
621	75	7	918
622	75	7	918
623	74	8	918
624	76	6	918
625	75	7	918
626	76	6	918
627	77	5	918
628	77	5	918
629	77	5	918
630	76	6	918
631	76	5	919
632	76	5	919
633	76	5	919
634	77	4	919
635	76	5	919
636	75	6	919
637	72	9	919
638	72	9	919
639	73	8	919
640	73	8	919
641	74	7	919
642	74	7	919
643	75	6	919
644	74	7	919
645	74	7	919
646	74	6	920
647	74	6	920
648	75	5	920
649	75	5	920
650	75	5	920
651	76	4	920
652	76	4	920
653	76	4	920
654	75	5	920
655	75	5	920
656	75	5	920
657	74	5	921
658	74	5	921
659	74	5	921
660	73	6	921
661	72	7	921
662	69	10	921
663	70	9	921
664	71	8	921
665	70	9	921
666	69	10	921
667	70	8	922
668	69	9	922
669	67	11	922
670	68	10	922
671	67	11	922
672	68	10	922
673	70	8	922
674	71	7	922
675	72	6	922
676	72	6	922
677	72	6	922
678	72	6	922
679	71	7	922
680	71	7	922
681	70	8	922
682	69	9	922
683	71	7	922
684	72	6	922
685	72	6	922
686	73	5	922
687	71	7	922
688	71	7	922
689	69	9	922
690	69	9	922
691	68	10	922
692	69	9	922
693	69	9	922
694	70	8	922
695	69	9	922
696	69	9	922
697	71	7	922
698	72	6	922
699	71	7	922
700	72	6	922
701	73	5	922
702	74	4	922
703	74	4	922
704	73	5	922
705	73	5	922
706	73	5	922
707	74	4	922
708	74	4	922
709	75	3	922
710	76	2	922
711	75	3	922
712	76	2	922
713	77	1	922
714	77	1	922
715	77	1	922
716	77	1	922
717	77	1	922
718	77	1	922
719	77	1	922
720	78	0	922
